hour,day_of_week,weather,road_type,speed_limit,is_rush_hour,is_night,is_weekend,weather_risk,road_risk,speed_risk,risk_level
6,Monday,Rainy,Rural road,30,0,0,0,2,3,0,Medium
19,Tuesday,Fine,Dual carriageway,30,1,0,0,0,1,0,Low
14,Saturday,Foggy,Dual carriageway,50,0,0,1,2,1,1,Medium
10,Sunday,Fine,Roundabout,50,1,0,1,0,2,1,Medium
7,Tuesday,Fine,Dual carriageway,80,0,0,0,0,1,2,Low
20,Thursday,Fine,One way street,60,1,0,0,0,1,1,Low
6,Friday,Fine,Rural road,30,0,0,0,0,3,0,Low
18,Wednesday,Cloudy,One way street,40,1,0,0,1,1,0,Low
22,Wednesday,Fine,Single carriageway,30,0,1,0,0,2,0,Medium
10,Thursday,Foggy,Roundabout,60,1,0,0,2,2,1,High
10,Tuesday,Fine,One way street,30,1,0,0,0,1,0,Low
23,Wednesday,Fine,Rural road,50,0,1,0,0,3,1,High
20,Tuesday,Fine,One way street,50,1,0,0,0,1,1,Low
3,Saturday,Cloudy,One way street,60,0,1,1,1,1,1,Medium
7,Thursday,Cloudy,Dual carriageway,80,0,0,0,1,1,2,Medium
23,Sunday,Fine,Roundabout,30,0,1,1,0,2,0,Medium
2,Tuesday,Fine,Single carriageway,60,0,1,0,0,2,1,Medium
21,Saturday,Fine,Rural road,40,0,0,1,0,3,0,Low
20,Tuesday,Fine,Rural road,40,1,0,0,0,3,0,Medium
1,Tuesday,Foggy,Single carriageway,80,0,1,0,2,2,2,High
23,Wednesday,Fine,Rural road,50,0,1,0,0,3,1,High
11,Monday,Rainy,Dual carriageway,60,0,0,0,2,1,1,Medium
5,Friday,Fine,One way street,30,0,1,0,0,1,0,Low
1,Tuesday,Fine,Dual carriageway,60,0,1,0,0,1,1,Medium
20,Tuesday,Rainy,Dual carriageway,80,1,0,0,2,1,2,High
0,Tuesday,Fine,Dual carriageway,60,0,1,0,0,1,1,Medium
11,Monday,Fine,Single carriageway,80,0,0,0,0,2,2,Medium
21,Saturday,Fine,Roundabout,80,0,0,1,0,2,2,Medium
11,Sunday,Fine,Single carriageway,80,0,0,1,0,2,2,Medium
16,Sunday,Cloudy,Single carriageway,60,0,0,1,1,2,1,Medium
9,Thursday,Fine,Dual carriageway,40,1,0,0,0,1,0,Low
15,Wednesday,Rainy,Roundabout,30,0,0,0,2,2,0,Medium
14,Monday,Fine,Single carriageway,80,0,0,0,0,2,2,Medium
14,Saturday,Fine,Roundabout,50,0,0,1,0,2,1,Low
18,Tuesday,Fine,Dual carriageway,80,1,0,0,0,1,2,Medium
11,Saturday,Fine,Single carriageway,60,0,0,1,0,2,1,Low
22,Monday,Foggy,Roundabout,80,0,1,0,2,2,2,High
19,Monday,Cloudy,Rural road,50,1,0,0,1,3,1,High
