route_distance_km,route_duration_min,intersection_density,is_night,weather_stress_index,fatigue_score,shift_duration_hours,route_risk_label
9.99,9.4,0.59,0,0.5,2,10.9,Medium
23.82,50.2,0.91,0,0.0,4,6.5,Medium
18.57,51.0,0.61,0,0.0,5,3.9,Medium
15.37,59.2,0.36,0,0.0,5,5.7,Medium
4.74,66.7,0.45,0,0.0,2,6.1,Medium
4.74,87.9,1.44,1,0.5,1,10.3,High
2.39,48.9,0.7,1,0.5,4,9.3,High
21.79,32.5,1.16,0,0.0,5,9.7,High
15.43,72.6,1.56,0,0.0,2,2.1,Medium
17.99,28.0,2.1,0,1.0,5,6.2,High
1.49,42.3,0.21,0,0.0,4,6.8,Medium
24.28,11.7,2.42,0,0.0,4,2.2,Medium
20.98,7.2,1.92,0,0.0,3,4.6,Medium
6.1,86.8,0.34,0,0.5,2,9.6,High
5.36,76.1,2.63,0,0.5,4,3.4,High
5.4,64.2,2.77,0,0.0,3,7.4,High
8.3,39.8,0.28,0,0.0,3,4.2,Medium
13.59,19.7,0.9,1,0.5,5,2.1,Medium
11.37,18.3,2.44,1,0.5,5,4.4,High
7.99,26.3,2.27,0,0.0,3,11.8,High
15.68,51.7,0.64,1,1.0,5,10.0,High
4.35,65.7,0.71,0,0.0,4,11.6,High
8.01,61.1,1.17,1,0.0,1,6.9,Medium
9.79,28.8,1.51,1,1.0,4,3.1,High
11.95,86.2,1.89,0,0.0,3,7.5,High
19.84,67.7,1.17,0,0.5,3,6.5,Medium
5.79,52.1,1.44,0,0.0,4,10.4,High
13.34,57.0,2.27,0,0.0,5,3.0,High
15.22,40.7,0.21,0,1.0,5,6.9,High
2.11,26.1,0.83,0,0.0,3,3.5,Medium
15.58,35.3,2.17,0,1.0,2,5.2,Medium
5.09,69.4,2.7,1,0.0,5,9.4,High
2.56,6.2,1.58,1,0.0,4,6.8,High
23.77,14.9,1.64,0,0.0,5,5.8,Medium
24.18,8.9,0.41,0,0.5,4,5.9,Medium
20.4,8.5,1.4,0,0.0,3,6.6,Medium
8.31,77.7,1.64,0,1.0,5,9.9,High
3.34,64.8,0.8,1,0.0,4,10.9,High
17.42,45.3,0.88,0,1.0,3,11.6,High
11.56,13.3,1.19,0,0.0,2,9.9,Medium
3.93,46.8,0.16,0,1.0,4,5.2,Medium
12.88,45.2,1.03,0,0.5,2,8.9,Medium
1.83,19.7,0.71,1,0.5,2,6.4,Medium
22.82,41.9,1.05,1,0.5,1,4.5,Medium
7.21,38.9,0.45,0,0.5,5,10.4,High
16.9,57.3,2.68,0,0.5,4,2.4,High
8.48,59.0,1.82,0,0.0,2,11.0,High
13.48,8.9,2.07,1,0.0,1,6.6,Medium
14.12,36.8,2.39,1,1.0,3,8.4,High
5.44,58.2,1.55,0,0.5,4,8.6,High
24.27,47.8,0.35,0,0.5,2,11.0,Medium
19.6,77.8,1.66,1,0.0,5,8.4,High
23.55,61.0,1.8,0,0.0,1,8.1,Medium
22.48,18.8,2.26,1,0.0,2,2.7,Medium
15.35,11.0,1.35,0,0.5,5,7.2,High
23.12,59.6,0.47,0,0.0,2,3.5,Low
3.12,7.3,0.92,0,0.0,4,9.4,Medium
5.7,54.8,1.15,0,0.0,4,7.1,Medium
2.09,84.9,1.97,0,0.0,4,8.8,High
8.81,53.9,1.76,1,0.0,1,2.4,Medium
10.33,38.0,1.13,0,0.0,4,2.8,Medium
7.51,59.7,2.96,0,0.5,5,9.2,High
20.89,44.0,1.86,0,0.0,2,2.7,Medium
9.56,51.4,0.79,0,0.0,3,2.7,Medium
7.74,85.0,0.4,0,0.0,5,2.1,Medium
14.02,37.8,0.54,0,0.0,5,11.6,High
4.38,86.7,0.81,1,0.0,4,9.4,High
20.25,82.0,0.57,0,0.0,1,5.5,Medium
2.79,21.6,0.64,0,0.5,2,5.0,Medium
24.69,10.9,0.93,0,0.0,1,5.5,Low
19.53,13.6,0.6,1,0.5,2,9.7,Medium
5.77,6.5,2.7,1,1.0,2,8.6,High
1.13,13.0,0.33,1,0.5,1,3.9,Medium
20.57,63.1,1.62,0,0.0,5,3.7,Medium
17.96,11.1,1.29,0,0.0,2,3.0,Low
18.5,32.1,2.95,0,0.0,1,8.6,Medium
19.51,76.8,0.42,0,0.0,2,9.6,Medium
2.78,7.0,1.25,0,1.0,3,4.7,Medium
9.6,74.2,2.91,0,0.0,5,2.2,High
3.78,29.0,2.61,0,0.0,4,2.8,Medium
21.71,15.0,2.47,0,0.5,2,11.7,High
15.96,64.2,0.85,1,0.5,3,5.0,High
8.94,58.5,0.6,0,0.0,4,9.7,High
2.53,79.6,2.04,0,0.0,4,8.2,High
8.46,67.5,2.8,1,0.0,2,5.8,High
8.8,73.3,1.71,0,0.0,1,4.1,Medium
18.51,29.0,1.76,1,0.0,2,3.2,Medium
16.3,20.1,0.91,0,0.0,3,8.2,Medium
22.29,68.8,2.33,0,0.0,4,9.7,High
12.33,73.6,0.64,1,0.0,2,8.4,High
3.87,89.2,1.04,1,0.0,1,7.3,Medium
18.12,40.1,1.33,1,0.0,2,2.4,Medium
19.26,36.6,1.57,0,0.0,5,11.7,High
14.47,71.0,0.8,0,0.5,1,10.0,Medium
19.5,34.0,0.43,0,0.5,3,4.9,Medium
12.85,84.1,1.87,0,0.0,4,11.8,High
13.55,78.0,0.94,1,0.0,2,8.0,High
11.26,41.5,1.79,0,0.0,1,7.8,Medium
1.61,68.8,0.55,1,0.5,5,9.5,High
3.59,69.1,1.5,0,0.5,1,10.1,High
1.75,13.8,1.64,0,0.0,5,8.6,High
16.27,81.7,0.25,0,1.0,3,3.3,Medium
8.54,47.9,1.08,1,0.0,4,5.4,High
13.21,75.2,0.49,1,0.0,3,11.3,High
22.78,32.2,0.28,1,0.5,2,4.2,Medium
6.98,81.1,2.97,1,1.0,1,5.7,High
10.85,38.1,1.03,1,0.5,5,6.3,High
19.13,5.9,2.45,1,0.5,5,6.4,High
6.49,82.0,0.84,0,0.0,1,8.1,Medium
2.85,12.8,2.08,0,0.5,1,11.4,Medium
7.95,32.1,2.3,0,0.0,2,4.4,Medium
4.87,85.8,1.83,1,1.0,3,3.2,High
23.31,85.8,1.47,1,0.0,5,4.0,High
20.39,53.7,1.29,0,0.5,2,10.9,High
16.2,58.7,1.11,1,0.0,3,8.5,High
21.92,43.1,2.8,1,0.5,2,4.9,High
20.29,29.9,2.51,0,0.0,5,10.2,High
5.48,32.9,2.9,0,0.5,1,10.6,High
22.42,62.2,0.46,1,0.0,1,10.5,Medium
13.94,69.0,2.22,0,0.0,3,11.2,High
20.38,72.3,2.82,1,0.0,4,4.5,High
22.51,72.1,0.63,0,0.0,3,9.6,Medium
8.63,12.8,0.29,1,1.0,4,6.6,High
3.64,47.0,2.25,1,0.0,2,10.4,High
6.47,9.9,1.77,1,1.0,2,9.3,High
11.25,51.7,2.54,0,0.0,5,9.8,High
20.63,42.5,0.51,1,0.0,4,8.6,High
21.66,80.5,2.41,1,0.5,5,3.8,High
1.17,34.8,0.68,0,0.5,1,7.5,Medium
13.26,15.0,0.57,1,0.0,4,11.8,High
11.02,17.2,0.58,0,0.0,3,11.4,Medium
6.33,69.7,2.46,0,0.5,1,2.4,Medium
3.88,57.5,2.03,0,0.0,1,3.6,Medium
9.1,13.6,1.62,0,1.0,3,3.3,Medium
23.63,12.1,1.14,0,1.0,1,9.3,Medium
8.76,64.6,2.64,1,0.5,4,10.2,High
13.45,11.2,1.24,0,0.0,5,4.1,Medium
17.87,74.9,2.47,1,0.5,1,7.1,High
9.73,65.0,1.37,0,0.0,4,10.4,High
24.32,11.9,1.19,0,0.0,2,9.3,Medium
24.1,12.2,1.44,0,0.0,4,7.4,Medium
7.04,88.9,0.97,1,0.0,5,7.9,High
12.93,36.8,2.27,0,1.0,4,7.1,High
8.22,36.5,1.56,0,0.5,3,5.0,Medium
7.84,74.1,0.77,1,0.5,5,7.7,High
1.89,85.5,2.71,0,0.0,2,8.9,High
15.63,88.8,1.21,0,0.0,3,10.7,High
13.06,69.0,1.68,0,0.0,4,8.4,High
2.24,37.0,2.73,1,1.0,5,9.6,High
7.69,12.1,1.91,0,0.0,2,3.6,Medium
22.8,71.1,0.44,1,1.0,3,6.6,High
6.75,52.5,2.83,0,0.0,2,2.1,Medium
4.48,41.1,1.92,1,0.0,4,4.5,High
12.75,82.0,1.07,1,0.5,2,9.3,High
24.66,14.5,0.5,1,0.0,1,11.9,Medium
6.81,46.9,2.4,0,1.0,3,3.0,High
17.13,6.0,1.9,1,1.0,2,6.0,High
19.28,44.8,1.65,0,0.0,4,10.0,High
6.7,9.8,2.69,0,0.0,4,4.0,Medium
18.48,15.1,2.39,0,0.0,2,7.6,Medium
9.83,15.0,0.54,1,1.0,4,9.3,High
16.18,60.2,1.0,1,0.0,5,8.2,High
16.2,68.4,0.82,1,0.5,5,3.9,High
13.86,54.6,2.26,0,0.5,5,5.6,High
3.17,86.8,0.2,0,0.5,1,9.8,Medium
21.05,36.9,1.75,1,0.0,2,7.5,Medium
8.7,29.3,2.31,0,0.5,1,2.1,Medium
5.48,78.8,2.64,0,1.0,4,9.6,High
1.98,24.0,1.09,0,0.0,1,2.4,Low
15.18,86.9,2.48,0,0.0,4,9.5,High
17.26,6.0,0.42,0,1.0,4,4.0,Medium
1.4,87.4,2.55,0,0.0,3,11.6,High
13.29,8.7,0.47,0,1.0,5,5.7,Medium
6.44,80.7,1.25,0,0.0,4,5.3,Medium
16.48,49.9,2.41,1,0.0,3,3.5,High
5.18,89.4,0.53,0,1.0,5,5.1,High
17.58,11.3,0.76,0,0.0,4,10.8,Medium
10.28,52.1,2.19,1,0.0,4,12.0,High
23.48,87.4,2.19,0,0.0,1,5.7,Medium
4.3,49.5,1.96,1,0.0,1,6.5,Medium
